ts_code,symbol,name,enname,aliases
4806.TWO,4806.TWO,桂田文創,,
4903.TWO,4903.TWO,聯光通,,
4905.TWO,4905.TWO,台聯電,,
4907.TWO,4907.TWO,富宇,,
4908.TWO,4908.TWO,前鼎,,
4909.TWO,4909.TWO,新復興,,
4911.TWO,4911.TWO,德英,,
4923.TWO,4923.TWO,力士,,
4924.TWO,4924.TWO,欣厚-KY,,
4931.TWO,4931.TWO,新盛力,,
4933.TWO,4933.TWO,友輝,,
4939.TWO,4939.TWO,亞電,,
4946.TWO,4946.TWO,辣椒,,
4950.TWO,4950.TWO,金耘國際,,
4951.TWO,4951.TWO,精拓科,,
4953.TWO,4953.TWO,緯軟,,
4966.TWO,4966.TWO,譜瑞-KY,,
4971.TWO,4971.TWO,IET-KY,,
4972.TWO,4972.TWO,湯石照明,,
4973.TWO,4973.TWO,廣穎,,
4974.TWO,4974.TWO,亞泰,,
4979.TWO,4979.TWO,華星光,,
4991.TWO,4991.TWO,環宇-KY,,
4995.TWO,4995.TWO,晶達,,
5009.TWO,5009.TWO,榮剛,,
5011.TWO,5011.TWO,久陽,,
5013.TWO,5013.TWO,強新,,
5014.TWO,5014.TWO,建錩,,
5015.TWO,5015.TWO,華祺,,
5016.TWO,5016.TWO,松和,,
5201.TWO,5201.TWO,凱衛,,
5202.TWO,5202.TWO,力新,,
5205.TWO,5205.TWO,中茂,,
5206.TWO,5206.TWO,坤悅,,
5209.TWO,5209.TWO,新鼎,,
5210.TWO,5210.TWO,寶碩,,
5211.TWO,5211.TWO,蒙恬,,
5212.TWO,5212.TWO,凌網,,
5213.TWO,5213.TWO,亞昕,,
5220.TWO,5220.TWO,萬達光電,,
5223.TWO,5223.TWO,安力-KY,,
5227.TWO,5227.TWO,立凱-KY,,
5228.TWO,5228.TWO,鈺鎧,,
5230.TWO,5230.TWO,雷笛克光學,,
5236.TWO,5236.TWO,凌陽創新,,
5245.TWO,5245.TWO,智晶,,
5251.TWO,5251.TWO,天鉞電,,
5263.TWO,5263.TWO,智崴,,
5272.TWO,5272.TWO,笙科,,
5274.TWO,5274.TWO,信驊,,
5276.TWO,5276.TWO,達輝-KY,,
5278.TWO,5278.TWO,尚凡*,,
5287.TWO,5287.TWO,數字,,
5289.TWO,5289.TWO,宜鼎,,
5291.TWO,5291.TWO,邑昇,,
5299.TWO,5299.TWO,杰力,,
5301.TWO,5301.TWO,寶得利,,
5302.TWO,5302.TWO,太欣,,
5309.TWO,5309.TWO,系統電,,
5310.TWO,5310.TWO,天剛,,
5312.TWO,5312.TWO,寶島科,,
5314.TWO,5314.TWO,世紀*,,
5315.TWO,5315.TWO,光聯,,
5321.TWO,5321.TWO,美而快,,
5324.TWO,5324.TWO,士開,,
